Reactor,Feed1,Feed2,Time,ProdParafPer,ProdEBPer,Admixture,BenzeneConv,Selectivity,t1,t2,t3,t4,t5,t6,PresDrop
2,6.6,165,1752,0.02,11.91,1.14,12.45,95.66,14.4,15.7,14.1,16.5,15.2,7.4,1.77
2,6.6,165,1776,0.02,13.07,1.33,14.45,90.45,14.7,16.7,14.2,17.3,15.6,8.1,1.8
2,6.6,165,1800,0.02,12.55,1.3,13.21,95.00,13.9,16.1,13.6,15.7,15.4,8.3,1.77
2,6.6,165,1824,0.02,12.76,1.24,13.46,94.80,14.8,16.9,14,17.6,15.4,8.1,1.74
2,6.6,165,1848,0.02,13.6,1.37,14.29,95.17,14.7,17.1,13.9,17.6,15.9,8.3,1.76
2,6.9,165,1872,0.02,14.15,1.5,15.02,94.21,14.5,16.3,15.2,17.6,16.2,8.5,1.79
2,6.9,165,1896,0.03,12.78,1.27,13.43,95.16,15,16.9,14.3,17.1,16.1,8.7,1.79
2,6.9,165,1920,0.03,12.09,1.13,12.72,95.05,15.6,16.9,14.6,17.3,16.3,8.7,1.84
2,6.9,165,1944,0.03,14.31,1.33,15,95.40,15.3,16.1,15.2,17.9,16.8,8.8,1.93
2,6.9,165,1968,0.03,13.72,1.4,14.51,94.56,15.8,17.8,15,17.6,16.6,8.6,1.91
2,6.9,165,1992,0.03,12.98,1.27,13.64,95.16,15.1,16.2,14.5,17.5,16.2,8.7,1.88
2,6.9,165,2016,0.01,13.88,1.36,14.68,94.55,15,16.3,14.6,17.4,16.5,8.6,1.92
2,6.9,165,2040,0.02,13.2,1.29,13.93,94.76,15.6,16.5,15,17.9,16.7,8.9,1.94
2,6.9,165,2064,0.03,12.22,1.15,12.78,95.62,15.4,16.6,14.8,17.8,16.9,8.8,1.9
2,6.9,165,2088,0.02,14,1.49,14.86,94.21,15.8,16.9,15.1,18,16.7,8.5,1.87
2,6.9,165,2112,0.03,13.48,1.4,14.29,94.33,15.3,17.6,15,17.7,16.7,8.7,1.88
2,6.9,165,2136,0.02,13.56,1.25,14.42,94.04,15.6,17.4,14.8,17.5,16.8,8.5,1.91
2,6.9,165,2160,0.02,13.99,1.48,14.86,94.15,15.1,16.6,15.6,17.1,16.9,8.3,1.89
2,6.9,165,2184,0.03,13.45,1.43,14.28,94.19,15.5,16.9,14.7,18,16.9,8.3,1.91
2,6.9,165,2208,0.02,13.1,1.32,14.41,90.91,15.7,18.7,16.2,17.7,17.5,8.4,1.95
2,6.9,165,2232,0.03,13.1,1.32,13.81,94.86,15.4,17.5,14.6,17.2,16.5,8.1,1.86
2,6.9,165,2256,0.07,12.51,1.18,12.98,96.38,16.1,17.4,14.6,17.4,16.6,8.5,1.99
2,6.9,165,2280,0.04,12.76,1.31,13.48,94.66,15.6,19.2,16,17.8,17.5,8.7,2.01
2,7.9,165,2304,0.03,14.25,1.32,15.09,94.43,16.1,20.4,18.4,20.3,18.6,9.8,2.03
2,7.9,165,2328,0.03,13.47,1.21,14.34,93.93,16.7,19.9,17.5,20.2,18.4,9.8,2.06
2,7.9,165,2352,0.03,13.64,1.18,14.42,94.59,16.6,19,17.7,19.6,18.7,9.6,2.15
2,7.9,165,2376,0.03,13.03,1.12,13.75,94.76,16.4,19.7,17.9,20,18.8,9.7,2.14
2,7.9,165,2400,0.02,13.25,1.12,13.98,94.78,15.1,19.2,15.4,18.8,17.5,8.7,2.26
2,6.9,165,2424,0.02,11.54,1.04,11.97,96.41,15.3,17.4,15.3,18.1,16.5,8.5,1.98
2,6.9,165,2448,0.04,11.32,1.12,11.72,96.59,15.4,16.9,14.6,17.4,16.6,8.3,2.01
2,6.9,165,2472,0.05,11.33,0.97,11.57,97.93,16,18.7,15.7,17.6,17.4,8.9,2.17
2,6.9,165,2496,0.05,10.71,0.9,11,97.36,16.3,17,15.3,17.3,16.9,8.6,2.26
2,6.9,165,2520,0.04,11.23,1.02,11.78,95.33,16.2,17.5,15.7,18.4,16.6,7.8,2.15
2,6.9,165,2544,0.04,12.03,1.1,12.54,95.93,16.8,17,16.5,16.5,16.4,7.4,2.03
2,6.9,165,2568,0.04,11.45,1.06,11.88,96.38,16.7,18.3,17.4,17,16.9,7.8,2.02
2,6.9,165,2592,0.04,11.92,1.06,12.41,96.05,16.2,16.6,15.5,16.9,16.1,7.5,2.01
2,6.9,165,2616,0.04,11.09,1.09,12.51,88.65,16.8,18.1,16.3,17.3,16.3,7.6,2.01
2,6.9,165,2640,0.04,12.89,1.2,13.46,95.77,16.1,17.6,16.4,18.5,16.9,7.7,1.91
2,6.9,165,2664,0.02,12.33,1.13,12.81,96.25,17.1,18,16.1,17.8,16.9,7.6,1.98
2,6.9,165,2688,0.04,10.58,0.88,10.81,97.87,16.7,17.8,16,17.5,16.2,7.7,1.94
2,6.9,165,2712,0.04,11.34,1.01,11.73,96.68,17.1,18.2,17.3,17.8,16.5,7.9,1.99
2,6.9,165,2736,0.04,11.45,1.05,11.86,96.54,17.2,18.5,17.1,18.4,16.7,7.9,2
2,6.9,165,2760,0.03,11.61,1,11.99,96.83,17.3,18,16.2,17.5,16.2,7.8,2
2,6.9,165,2784,0.02,11.5,0.99,11.82,97.29,17,17.2,16.7,17.9,16.4,7.6,2.02
2,6.9,165,2808,0.04,10.2,0.81,10.28,99.22,16.9,18,16.3,16.8,16.5,7.7,2.04
2,6.9,165,2832,0.02,10.99,0.96,11.25,97.69,16.8,16.6,15.7,17.7,16.1,7.8,2.04
2,6.9,165,2856,0.04,9.99,0.81,10.26,97.37,17.7,17.1,16,17.1,16.2,7.8,2
2,6.9,165,2880,0.03,10.98,0.3,11.34,96.83,16.6,17.1,15.9,17.1,15.8,7.8,2.05
2,6.9,165,2904,0.04,10.42,0.84,10.51,99.14,17,18.2,16.2,17.8,16.2,8,2.09
2,6.9,165,2928,0.04,11.44,1.02,11.81,96.87,17.7,17.8,17,18.6,16.2,7.9,2.1
2,6.9,165,2952,0.04,11.67,1.05,12.09,96.53,16.5,18,16.9,16.7,17,7.8,2.09
